cohort,t,deaths,at_risk,hazard,log_hazard,slope,hazard_adj,cum_hazard_adj
dose0_unvaccinated,0,1808,1549449,0.0011668664150933654,-6.753433400872971,-0.04757276576423309,0.0011668664150933654,0.0011668664150933654
dose0_unvaccinated,1,1635,1547641,0.0010564465531735074,-6.852844310759973,-0.04757276576423309,0.0011079192803331505,0.002274785695426516
dose0_unvaccinated,2,1550,1546006,0.001002583431112169,-6.905175179191864,-0.04757276576423309,0.0011026602081743938,0.00337744590360091
dose0_unvaccinated,3,1813,1544456,0.0011738761091283922,-6.747444091996248,-0.04757276576423309,0.0013539543842220427,0.004731400287822952
dose0_unvaccinated,4,2616,1542643,0.0016957909250552461,-6.379606024532652,-0.04757276576423309,0.0020512314446492507,0.0067826317324722035
dose0_unvaccinated,5,2920,1540027,0.0018960706533067276,-6.267971611441325,-0.04757276576423309,0.002405234722147638,0.009187866454619841
dose0_unvaccinated,6,2064,1537107,0.001342782252634332,-6.613011509631518,-0.04757276576423309,0.0017863605967240114,0.010974227051343852
dose0_unvaccinated,7,1940,1535043,0.001263808245111049,-6.673625699583019,-0.04757276576423309,0.0017632151631837038,0.012737442214527557
dose0_unvaccinated,8,1938,1533103,0.0012641029337233049,-6.673392551665436,-0.04757276576423309,0.0018495546001547154,0.014586996814682273
dose0_unvaccinated,9,1581,1531165,0.0010325471128193237,-6.875726604320872,-0.04757276576423309,0.0015843647946646472,0.01617136160934692
dose0_unvaccinated,10,1431,1529584,0.000935548489000931,-6.974377581417068,-0.04757276576423309,0.0015054703212686355,0.017676831930615554
dose0_unvaccinated,11,1342,1528153,0.000878184317931516,-7.037654057054265,-0.04757276576423309,0.001482013513620133,0.019158845444235687
dose0_unvaccinated,12,1374,1526811,0.0008999149207072781,-7.013210331655915,-0.04757276576423309,0.001592680007315039,0.020751525451550727
dose1,0,366,434763,0.0008418379668923068,-7.079923000610768,-0.03409003018428089,0.0008418379668923068,0.0008418379668923068
dose1,1,301,434397,0.0006929145459107683,-7.274603876751792,-0.03409003018428089,0.0007169432666062151,0.001558781233498522
dose1,2,317,434096,0.0007302532158785153,-7.222119212901238,-0.03409003018428089,0.0007817784633271175,0.0023405596968256396
dose1,3,296,433779,0.0006823751265045104,-7.289931012473822,-0.03409003018428089,0.0007558550583530138,0.003096414755178653
