cohort,t,deaths,at_risk,hazard,log_hazard,slope,hazard_adj,cum_hazard_adj
dose0_unvaccinated,0,1711,1021171,0.0016755274092194157,-6.391627292090862,0.0328696993416675,0.0016755274092194157,0.0016755274092194157
dose0_unvaccinated,1,1625,1019460,0.0015939811272634532,-6.4415205385440215,0.0328696993416675,0.0015424391716306852,0.0032179665808501007
dose0_unvaccinated,2,1588,1017835,0.001560174291510903,-6.462957738633999,0.0328696993416675,0.0014609079728958824,0.0046788745537459835
dose0_unvaccinated,3,1258,1016247,0.001237888033125805,-6.694348550549894,0.0328696993416675,0.0011216464274719947,0.005800520981217978
dose0_unvaccinated,4,1149,1014989,0.0011320319727602958,-6.78374105511212,0.0328696993416675,0.0009925632172404315,0.006793084198458409
dose0_unvaccinated,5,1034,1013840,0.001019884794444883,-6.888065604687571,0.0328696993416675,0.0008653174696796899,0.007658401668138099
dose0_unvaccinated,6,1084,1012806,0.0010702938173746995,-6.839822072525526,0.0328696993416675,0.0008787235028038714,0.00853712517094197
dose0_unvaccinated,7,1087,1011722,0.0010744058150361463,-6.8359875004130926,0.0328696993416675,0.0008535764940336427,0.009390701664975614
dose0_unvaccinated,8,1139,1010635,0.0011270142039410866,-6.78818344068441,0.0328696993416675,0.0008664197774170089,0.010257121442392622
dose0_unvaccinated,9,1253,1009496,0.0012412134372003455,-6.691665799473508,0.0328696993416675,0.0009233584057770327,0.011180479848169654
dose0_unvaccinated,10,1099,1008243,0.001090015006303044,-6.821563815585353,0.0328696993416675,0.0007846594083845882,0.011965139256554243
dose0_unvaccinated,11,1408,1007144,0.0013980125979998889,-6.572703623766279,0.0328696993416675,0.0009738333996643084,0.012938972656218552
dose0_unvaccinated,12,1282,1005736,0.0012746883874098173,-6.665053532274307,0.0328696993416675,0.0008592162474841566,0.013798188903702708
dose1,0,269,160887,0.001671980955577517,-6.39374615458933,0.05012532550869602,0.001671980955577517,0.001671980955577517
dose1,1,219,160618,0.0013634835448081784,-6.597712424098958,0.05012532550869602,0.0012968231324406243,0.0029688040880181416
dose1,2,182,160399,0.0011346704156509704,-6.781413052904357,0.05012532550869602,0.0010264349400113523,0.003995239028029494
dose1,3,187,160217,0.0011671670297159478,-6.75317580848507,0.05012532550869602,0.0010042123410436234,0.004999451369073117
dose1,4,127,160030,0.0007936011997750422,-7.138929490181445,0.05012532550869602,0.0006494200707180493,0.005648871439791167
dose1,5,158,159903,0.000988099035039993,-6.919727627345159,0.05012532550869602,0.0007690502431565879,0.006417921682947754
dose1,6,143,159745,0.000895176687846255,-7.018489442585515,0.05012532550869602,0.000662664720933193,0.007080586403880948
dose1,7,143,159602,0.0008959787471334946,-7.0175938649877425,0.05012532550869602,0.0006308318936295838,0.007711418297510531
