cohort,t,deaths,at_risk,hazard,log_hazard,slope,hazard_adj,cum_hazard_adj
dose0_unvaccinated,0,7277,4353336,0.0016715916253650074,-6.393979037354603,-0.03453502771790637,0.0016715916253650074,0.0016715916253650074
dose0_unvaccinated,1,5788,4346059,0.0013317812758639493,-6.621237927656783,-0.03453502771790637,0.001378577787588252,0.0030501694129532594
dose0_unvaccinated,2,7007,4340271,0.0016144153210709653,-6.428782418152922,-0.03453502771790637,0.0017298642137458925,0.004780033626699152
dose0_unvaccinated,3,4959,4333264,0.0011444029258314288,-6.772872240140566,-0.03453502771790637,0.001269328628855432,0.0060493622555545835
dose0_unvaccinated,4,4035,4328305,0.0009322355979996789,-6.97792498767077,-0.03453502771790637,0.0010703336284710754,0.00711969588402566
dose0_unvaccinated,5,3698,4324270,0.0008551732431138666,-7.0642064860278975,-0.03453502771790637,0.0010163562541502472,0.008136052138175906
dose0_unvaccinated,6,3705,4320572,0.0008575253461810149,-7.061459821132426,-0.03453502771790637,0.0010549629250281832,0.00919101506320409
dose0_unvaccinated,7,3720,4316867,0.00086173606923725,-7.0565615183640515,-0.03453502771790637,0.0010973947423699544,0.010288409805574043
dose0_unvaccinated,8,3837,4313147,0.0008896056637995413,-7.024732267807084,-0.03453502771790637,0.001172693492041332,0.011461103297615377
dose0_unvaccinated,9,4336,4309310,0.0010061935669515537,-6.901580813336802,-0.03453502771790637,0.0013729884508128375,0.012834091748428214
dose0_unvaccinated,10,5574,4304974,0.0012947813389813736,-6.649413448294871,-0.03453502771790637,0.0018288586940977795,0.014662950442525993
dose0_unvaccinated,11,6059,4299400,0.0014092664092664093,-6.564685987099184,-0.03453502771790637,0.0020605122084640277,0.01672346265099002
dose0_unvaccinated,12,4702,4293341,0.0010951843797173343,-6.816832546585048,-0.03453502771790637,0.0016575540717377025,0.018381016722727725
dose0_unvaccinated,13,4490,4288639,0.0010469521915927175,-6.861872010416408,-0.03453502771790637,0.001640233531407875,0.0200212502541356
dose0_unvaccinated,14,4657,4284149,0.0010870303530526133,-6.824305747541467,-0.03453502771790637,0.001762864282565426,0.021784114536701024
dose0_unvaccinated,15,4291,4279492,0.0010026891042207813,-6.905069783933266,-0.03453502771790637,0.001683223846494577,0.0234673383831956
dose0_unvaccinated,16,3940,4275201,0.0009215940958097643,-6.989405674499587,-0.03453502771790637,0.0016014509274318608,0.025068789310627462
dose0_unvaccinated,17,3747,4271261,0.0008772584957931627,-7.038708858973137,-0.03453502771790637,0.0015779742295606196,0.026646763540188082
dose0_unvaccinated,18,4007,4267514,0.0009389541545733652,-6.970743903618463,-0.03453502771790637,0.0017482964807884467,0.02839506002097653
dose0_unvaccinated,19,4085,4263507,0.0009581314162261256,-6.950525611712346,-0.03453502771790637,0.001846690639914564,0.030241750660891093
dose0_unvaccinated,20,4077,4259422,0.0009571721233538259,-6.951527325469661,-0.03453502771790637,0.001909666286857442,0.032151416947748535
dose0_unvaccinated,21,4503,4255345,0.0010581985714436784,-6.851187277482228,-0.03453502771790637,0.0021854102832521978,0.03433682723100073
dose0_unvaccinated,22,4156,4250842,0.0009776886555651798,-6.930319286705831,-0.03453502771790637,0.002090088902326236,0.03642691613332697
dose0_unvaccinated,23,5337,4246686,0.001256744671021121,-6.679230495686141,-0.03453502771790637,0.002781055191038924,0.03920797132436589
dose0_unvaccinated,24,5088,4241349,0.0011996183289797657,-6.725751831963261,-0.03453502771790637,0.002747919588894175,0.04195589091326007
dose1,0,215,138486,0.001552503502159063,-6.467886488340143,-0.02698281245456608,0.001552503502159063,0.001552503502159063
dose1,1,519,138271,0.003753498564413362,-5.5850669234174255,-0.02698281245456608,0.00385615729434899,0.005408660796508053
dose1,2,535,137752,0.003883791160926883,-5.550943499070015,-0.02698281245456608,0.004099140857582972,0.009507801654091024
dose1,3,455,137217,0.0033159156664261716,-5.709021474352709,-0.02698281245456608,0.0035954970460560388,0.013103298700147063
dose1,4,472,136762,0.003451251078515962,-5.669018482219861,-0.02698281245456608,0.003844594157150205,0.016947892857297267
dose1,5,471,136290,0.0034558661677305744,-5.667682153405141,-0.02698281245456608,0.003955026050208269,0.020902918907505535
dose1,6,472,135819,0.0034752133353949007,-5.662099410369215,-0.02698281245456608,0.00408594380540324,0.024988862712908778
dose1,7,452,135347,0.003339564231198327,-5.70191495020654,-0.02698281245456608,0.00403384500227843,0.029022707715187206
dose1,8,502,134895,0.0037214129508135957,-5.593651857324996,-0.02698281245456608,0.004618019443489719,0.03364072715867693
dose1,9,566,134393,0.004211528874271725,-5.469929544178286,-0.02698281245456608,0.0053691577191318065,0.03900988487780873
dose1,10,627,133827,0.004685153220202201,-5.363356659407703,-0.02698281245456608,0.006136329389659085,0.045146214267467816
dose1,11,606,133200,0.00454954954954955,-5.392727051019111,-0.02698281245456608,0.006121695893775261,0.05126791016124308
dose1,12,546,132594,0.004117833386126069,-5.492428131096455,-0.02698281245456608,0.005692337073786621,0.0569602472350297
