cohort,t,deaths,at_risk,hazard,log_hazard,slope,hazard_adj,cum_hazard_adj
dose0_unvaccinated,0,1711,1021171,0.0016755274092194157,-6.391627292090862,-0.005561269715162564,0.0016755274092194157,0.0016755274092194157
dose0_unvaccinated,1,1625,1019460,0.0015939811272634532,-6.4415205385440215,-0.005561269715162564,0.0016028703810917453,0.003278397790311161
dose0_unvaccinated,2,1588,1017835,0.001560174291510903,-6.462957738633999,-0.005561269715162564,0.0015776242556479966,0.004856022045959158
dose0_unvaccinated,3,1258,1016247,0.001237888033125805,-6.694348550549894,-0.005561269715162564,0.0012587139656842698,0.0061147360116434275
dose0_unvaccinated,4,1149,1014989,0.0011320319727602958,-6.78374105511212,-0.005561269715162564,0.0011574962910893627,0.00727223230273279
dose0_unvaccinated,5,1034,1013840,0.001019884794444883,-6.888065604687571,-0.005561269715162564,0.00104864203052771,0.0083208743332605
dose0_unvaccinated,6,1084,1012806,0.0010702938173746995,-6.839822072525526,-0.005561269715162564,0.0011066094872165077,0.009427483820477008
dose0_unvaccinated,7,1087,1011722,0.0010744058150361463,-6.8359875004130926,-0.005561269715162564,0.0011170560150316955,0.010544539835508702
dose0_unvaccinated,8,1139,1010635,0.0011270142039410866,-6.78818344068441,-0.005561269715162564,0.001178287361954103,0.011722827197462806
dose0_unvaccinated,9,1253,1009496,0.0012412134372003455,-6.691665799473508,-0.005561269715162564,0.0013049189178714158,0.013027746115334223
dose0_unvaccinated,10,1099,1008243,0.001090015006303044,-6.821563815585353,-0.005561269715162564,0.001152350950659235,0.014180097065993456
dose0_unvaccinated,11,1408,1007144,0.0013980125979998889,-6.572703623766279,-0.005561269715162564,0.0014862046003035292,0.015666301666296987
dose0_unvaccinated,12,1282,1005736,0.0012746883874098173,-6.665053532274307,-0.005561269715162564,0.001362657699063814,0.0170289593653608
dose0_unvaccinated,13,1021,1004454,0.0010164726309019627,-6.89141685009656,-0.005561269715162564,0.0010926816838660591,0.01812164104922686
dose0_unvaccinated,14,1077,1003433,0.0010733153085457623,-6.837003001515284,-0.005561269715162564,0.0011602204770485797,0.01928186152627544
dose0_unvaccinated,15,990,1002356,0.0009876730423123122,-6.920158843819128,-0.005561269715162564,0.001073597845990348,0.020355459372265787
dose0_unvaccinated,16,910,1001366,0.0009087586357036288,-7.003431026324141,-0.005561269715162564,0.0009933269325636735,0.021348786304829462
dose0_unvaccinated,17,899,1000456,0.0008985902428492608,-7.014683419556249,-0.005561269715162564,0.000987689842201424,0.022336476147030885
dose0_unvaccinated,18,875,999557,0.0008753877967939797,-7.040843573453171,-0.005561269715162564,0.0009675526474418682,0.023304028794472752
dose0_unvaccinated,19,902,998682,0.000903190404953729,-7.009577168575719,-0.005561269715162564,0.0010038496258421429,0.024307878420314896
dose0_unvaccinated,20,880,997780,0.0008819579466415442,-7.033366182638923,-0.005561269715162564,0.0009857174677022928,0.02529359588801719
dose0_unvaccinated,21,969,996900,0.0009720132410472465,-6.936141131120029,-0.005561269715162564,0.0010924258915666505,0.026386021779583838
dose0_unvaccinated,22,1054,995931,0.001058306248123615,-6.851085527957224,-0.005561269715162564,0.0011960418956929216,0.027582063675276762
dose0_unvaccinated,23,1203,994877,0.001209194704471005,-6.717800674434253,-0.005561269715162564,0.001374189094916718,0.02895625277019348
dose0_unvaccinated,24,0,993674,0.0,,-0.005561269715162564,0.0,0.02895625277019348
dose1,0,269,160887,0.001671980955577517,-6.39374615458933,-0.014057730726337385,0.001671980955577517,0.001671980955577517
dose1,1,219,160618,0.0013634835448081784,-6.597712424098958,-0.014057730726337385,0.00138278638853629,0.003054767344113807
dose1,2,182,160399,0.0011346704156509704,-6.781413052904357,-0.014057730726337385,0.0011670248973073658,0.004221792241421173
dose1,3,187,160217,0.0011671670297159478,-6.75317580848507,-0.014057730726337385,0.001217442884398793,0.005439235125819966
dose1,4,127,160030,0.0007936011997750422,-7.138929490181445,-0.014057730726337385,0.0008395046291589678,0.006278739754978934
dose1,5,158,159903,0.000988099035039993,-6.919727627345159,-0.014057730726337385,0.0010600502421640292,0.007338789997142963
