cohort,t,deaths,at_risk,hazard,log_hazard,slope,hazard_adj,cum_hazard_adj
dose0_unvaccinated,0,1711,1021171,0.0016755274092194157,-6.391627292090862,0.036339035683797614,0.0016755274092194157,0.0016755274092194157
dose0_unvaccinated,1,1625,1019460,0.0015939811272634532,-6.4415205385440215,0.036339035683797614,0.0015370972032576536,0.0032126246124770694
dose0_unvaccinated,2,1588,1017835,0.001560174291510903,-6.462957738633999,0.036339035683797614,0.001450806297289312,0.004663430909766382
dose0_unvaccinated,3,1258,1016247,0.001237888033125805,-6.694348550549894,0.036339035683797614,0.0011100328632093067,0.005773463772975688
dose0_unvaccinated,4,1149,1014989,0.0011320319727602958,-6.78374105511212,0.036339035683797614,0.0009788842083653297,0.006752347981341018
dose0_unvaccinated,5,1034,1013840,0.001019884794444883,-6.888065604687571,0.036339035683797614,0.0008504365236189116,0.007602784504959929
dose0_unvaccinated,6,1084,1012806,0.0010702938173746995,-6.839822072525526,0.036339035683797614,0.0008606210427288737,0.008463405547688803
dose0_unvaccinated,7,1087,1011722,0.0010744058150361463,-6.8359875004130926,0.036339035683797614,0.0008330967715635847,0.009296502319252388
dose0_unvaccinated,8,1139,1010635,0.0011270142039410866,-6.78818344068441,0.036339035683797614,0.0008427032098766849,0.010139205529129072
dose0_unvaccinated,9,1253,1009496,0.0012412134372003455,-6.691665799473508,0.036339035683797614,0.0008949728989705747,0.011034178428099648
dose0_unvaccinated,10,1099,1008243,0.001090015006303044,-6.821563815585353,0.036339035683797614,0.0007579037400357602,0.011792082168135407
dose0_unvaccinated,11,1408,1007144,0.0013980125979998889,-6.572703623766279,0.036339035683797614,0.000937369493926665,0.012729451662062073
dose0_unvaccinated,12,1282,1005736,0.0012746883874098173,-6.665053532274307,0.036339035683797614,0.0008241797072751901,0.013553631369337262
dose1,0,269,160887,0.001671980955577517,-6.39374615458933,0.027859320634367434,0.001671980955577517,0.001671980955577517
dose1,1,219,160618,0.0013634835448081784,-6.597712424098958,0.027859320634367434,0.0013260220681189305,0.0029980030236964475
dose1,2,182,160399,0.0011346704156509704,-6.781413052904357,0.027859320634367434,0.0010731771896336758,0.004071180213330123
dose1,3,187,160217,0.0011671670297159478,-6.75317580848507,0.027859320634367434,0.0010735828454677375,0.005144763058797861
dose1,4,127,160030,0.0007936011997750422,-7.138929490181445,0.027859320634367434,0.0007099139640123308,0.005854677022810192
dose1,5,158,159903,0.000988099035039993,-6.919727627345159,0.027859320634367434,0.0008596164723966292,0.0067142934952068205
dose1,6,143,159745,0.000895176687846255,-7.018489442585515,0.027859320634367434,0.0007573800625442382,0.007471673557751059
dose1,7,143,159602,0.0008959787471334946,-7.0175938649877425,0.027859320634367434,0.0007372311272612772,0.008208904685012336
dose1,8,149,159459,0.0009344094720272922,-6.975595808926181,0.027859320634367434,0.0007477286792992685,0.008956633364311605
dose1,9,154,159310,0.000966668759023288,-6.941654666153311,0.027859320634367434,0.0007522900889156283,0.009708923453227233
dose1,10,132,159156,0.0008293749528764232,-7.094838209695983,0.027859320634367434,0.0006277105433150759,0.010336633996542308
dose1,11,182,159024,0.0011444813361505182,-6.7728037261309915,0.027859320634367434,0.0008423994474156655,0.011179033443957974
dose1,12,163,158842,0.0010261769557170018,-6.881915075645986,0.027859320634367434,0.0007345687811332866,0.01191360222509126
dose2,0,1514,1299139,0.0011653872295420275,-6.754701861319435,0.0360924245606644,0.0011653872295420275,0.0011653872295420275
dose2,1,1261,1297625,0.0009717753588286293,-6.936385892530627,0.0360924245606644,0.0009373270312974622,0.0021027142608394896
dose2,2,1199,1296364,0.0009248945512217247,-6.985830825629408,0.0360924245606644,0.0008604838808880271,0.0029631981417275167
